tradename,busloc,jobstatusdesc,licencetypes,comdistnm
MINIBULK,601 MANITOU RD SE CALGARY,Renewal Licensed,WHOLESALER,MANCHESTER INDUSTRIAL                   
MINIMAX GROUP,#11A 416 MERIDIAN RD SE CALGARY,Renewal Licensed,WHOLESALER,MERIDIAN                                
MINIT AUTOMOTIVE,8501 MACLEOD TR SW CALGARY,Pending Renewal,MOTOR VEHICLE REPAIR AND SERVICE (1),HAYSBORO                                
MINIT LUBE,8511 MACLEOD TR SW CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),HAYSBORO                                
MINIT LUBE,4529 BOW TR SW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, MOTOR VEHICLE REPAIR AND SERVICE (1)",ROSSCARROCK                             
MINIT LUBE,#3 141 CROWFOOT WY NW CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),ARBOUR LAKE                             
MINIT LUBE,1404 16 AV NW CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),CAPITOL HILL                            
MINIT LUBE (2009),4320 17 AV SE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),FOREST LAWN                             
MINIT-TUNE & BRAKE (MONTEREY),#1202 2220 68 ST NE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),MONTEREY PARK                           
MINKS,#226 1111 OLYMPIC WY SE CALGARY,Renewal Licensed,PERSONAL SERVICE,BELTLINE                                
MINLED SIGNS,#103 3825 34 ST NE CALGARY,Licensed,"MANUFACTURER, RETAIL DEALER - PREMISES, WHOLESALER, CONTRACTOR",HORIZON                                 
MINT FLOOR COVERINGS,6010 12 ST SE CALGARY,Renewal Invoiced,"RETAIL DEALER - PREMISES, CONTRACTOR",BURNS INDUSTRIAL                        
MINT LEAF VIETNAMESE RESTAURANT,#A 526 4 AV SW CALGARY,Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",DOWNTOWN COMMERCIAL CORE                
MINT NAILS & SPA LOUNGE,#228 5149 COUNTRY HILLS BV NW CALGARY,Renewal Licensed,PERSONAL SERVICE (TATTOO),EDGEMONT                                
MINTON MANOR,1815 5 ST SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),CLIFF BUNGALOW                          
MINUTE MUFFLER & BRAKE,5312 17 AV SE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),PENBROOKE MEADOWS                       
MINUTE MUFFLER & BRAKE,14379 MACLEOD TR SW CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),SHAWNEE SLOPES                          
MINUTE MUFFLER& BRAKE,#250 3619 61 AV SE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),FOOTHILLS                               
MINUTEMAN PRESS,#2 2816 21 ST NE CALGARY,Renewal Licensed,MANUFACTURER,SOUTH AIRWAYS                           
MINUTEMAN PRESS,#8A 1323 44 AV NE CALGARY,Renewal Licensed,MANUFACTURER,MCCALL                                  
MINUTEMAN PRESS,1136 10 AV SW CALGARY,Pending Renewal,MANUFACTURER,BELTLINE                                
MINUTEMAN PRESS,#10 4550 112 AV SE CALGARY,Renewal Invoiced,MANUFACTURER,EAST SHEPARD INDUSTRIAL                 
MINUTEMAN PRESS,#100L 717 7 AV SW CALGARY,Licensed,MANUFACTURER,DOWNTOWN COMMERCIAL CORE                
MINUTEMAN PRESS SOUTH ,6035 6 ST SE CALGARY,Renewal Licensed,MANUFACTURER,MANCHESTER INDUSTRIAL                   
MIO PIZZA,#5 2610 CENTRE ST NE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),TUXEDO PARK                             
MI-PRIDE PAINTING & DECORATING,#133 2770 3 AV NE CALGARY,Renewal Licensed,CONTRACTOR,MERIDIAN                                
MIR MACHINING,4440 76 AV SE CALGARY,Licensed,MANUFACTURER,FOOTHILLS                               
MIRA BARBER SHOP,231 14 ST NW CALGARY,Pending Renewal,PERSONAL SERVICE,HILLHURST                               
MIRACLE- EAR CANADA,#114 1011 GLENMORE TR SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,KELVIN GROVE                            
MIRACLE-EAR CANADA,#105 755 LAKE BONAVISTA DR SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,LAKE BONAVISTA                          
MIRACLE-EAR CANADA,#111 6490 OLD BANFF COACH RD SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,PATTERSON                               
MIRACLES BEAUTY & WELLNESS CENTRE,10105 HIDDEN VALLEY DR NW CALGARY,Renewal Licensed,"PERSONAL SERVICE, RETAIL DEALER - PREMISES, BODY RUB CENTRE (GRANDFATHERED MASSAGE CENTRE COMMERCIAL)",HIDDEN VALLEY                           
MIRAGE MASSAGE,#6 507 18 AV SW CALGARY,Renewal Licensed,"PERSONAL SERVICE, MASSAGE CENTRE (COMMERCIAL), RETAIL DEALER - PREMISES",CLIFF BUNGALOW                          
MIRAGE NAILS & SPA,#128A 1600 90 AV SW CALGARY,Renewal Licensed,"PERSONAL SERVICE (TATTOO), RETAIL DEALER - PREMISES",BAYVIEW                                 
MIRAKURU,529 17 AV SW CALGARY,Renewal Licensed,"ENTERTAINMENT ESTABLISHMENT, TOBACCO RETAILER, ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",CLIFF BUNGALOW                          
MIRAMICHI,2131 17 ST SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),BANKVIEW                                
MIRCHI RESTAURANT,#101 825 12 AV SW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (SEATING),BELTLINE                                
MIRCOM CALGARY,4574 14 ST NE CALGARY,Expired,WHOLESALER,MCCALL                                  
MISA NAILS & SPA,#141 9919 FAIRMOUNT DR SE CALGARY,Renewal Licensed,PERSONAL SERVICE,WILLOW PARK                             
MISAI JAPANESE RESTAURANT,#7 1915 32 AV NE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",SOUTH AIRWAYS                           
MISATO,#238 1623 CENTRE ST NW CALGARY,Renewal Licensed,PERSONAL SERVICE,CRESCENT HEIGHTS                        
MISATO SUSHI & GRILL,#420 1851 SIROCCO DR SW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",SIGNAL HILL                             
MISH FASHION & SWIM,#10A 6624 CENTRE ST SE CALGARY,Licensed,RETAIL DEALER - PREMISES,MANCHESTER INDUSTRIAL                   
MISS SAIGON VIDEO RENTALS,1919K 31 ST SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,SOUTHVIEW                               
MISSES COIN LAUNDRY,3225 17 AV SE CALGARY,Renewal Licensed,FABRIC CLEANING,SOUTHVIEW                               
MISSION (THE),1919 4 ST SW CALGARY,Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",CLIFF BUNGALOW                          
MISSION CENTRE ,2303 4 ST SW CALGARY,Renewal Licensed,OFFICE BUILDING OPERATOR,CLIFF BUNGALOW                          
MISSION COURT,138 24 AV SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),MISSION                                 
MISSION FITNESS ,27 SKYLINE CR NE CALGARY,Renewal Licensed,"SCHOOL (PROV. NOT REQUIRED), FOOD SERVICE - PREMISES (SEATING)",SKYLINE WEST                            
MISSION GENERAL STORE,1706 4 ST SW CALGARY,Renewal Licensed,"TOBACCO RETAILER, RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",MISSION                                 
MISSION HEALTH CENTRE,#401 320 23 AV SW CALGARY,Renewal Invoiced,"PERSONAL SERVICE, MASSAGE CENTRE (COMMERCIAL), SCHOOL (PROV. NOT REQUIRED), RETAIL DEALER - PREMISES",MISSION                                 
MISSION MANOR,521 20 AV SW CALGARY,Renewal Licensed,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),CLIFF BUNGALOW                          
MISSION PLACE,516 22 AV SW CALGARY,Pending Renewal,APARTMENT BUILDING OPERATOR (1 TO 3 STOREYS),CLIFF BUNGALOW                          
MISSION SNOWBOARDS & SKATEBOARDS,#103 1414 KENSINGTON RD NW CALGARY,Expired,RETAIL DEALER - PREMISES,HILLHURST                               
MISSION SQUARE,330 25 AV SW CALGARY,Renewal Invoiced,APARTMENT BUILDING OPERATOR (4 OR MORE STOREYS),MISSION                                 
MISSION TATTOO PARLOUR,2103 4 ST SW CALGARY,Renewal Licensed,PERSONAL SERVICE (TATTOO),CLIFF BUNGALOW                          
MISSION WINE & LIQUOR MERCHANTS,#14 2100 4 ST SW CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, LIQUOR STORE, FOOD SERVICE - PREMISES",MISSION                                 
MISSON SPORT PHYSIOTHERAPY AND REHABILITATION,#909 2303 4 ST SW CALGARY,Renewal Licensed,BODY RUB CENTRE (GRANDFATHERED MASSAGE CENTRE COMMERCIAL),CLIFF BUNGALOW                          
MISTER TIRE,15208 SHAW RD SE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),MIDNAPORE                               
MISTER TRANSMISSION AND CHANGE AUTOMOTIVE,5818 1A ST SW CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),MANCHESTER                              
MISTY HOUSE OF BEAUTY,2719 17 AV SW CALGARY,Renewal Licensed,PERSONAL SERVICE,KILLARNEY/GLENGARRY                     
MISTY MEADOW FLOWERS,#155 10233 ELBOW DR SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,SOUTHWOOD                               
MITCHAM CANADA,2080 21 ST NE CALGARY,Renewal Licensed,WHOLESALER,SOUTH AIRWAYS                           
MITEK CANADA,#2192 8800 VENTURE AV SE CALGARY,Renewal Licensed,MANUFACTURER,RESIDUAL WARD 12 - SUB AREA 12A
MITEK CANADA,11071 48 ST SE CALGARY,Renewal Licensed,WHOLESALER,EAST SHEPARD INDUSTRIAL                 
MITILLINI'S PIZZA & STEAK HOUSE,#2 5720 SILVER SPRINGS BV NW CALGARY,Pending Renewal,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",SILVER SPRINGS                          
MITSUBISHI HITACHI POWER SYSTEMS CANADA,#460 10655 SOUTHPORT RD SW CALGARY,Renewal Licensed,WHOLESALER,SOUTHWOOD                               
MITSUI & COMPANY,#2100 333 7 AV SW CALGARY,Renewal Licensed,WHOLESALER,DOWNTOWN COMMERCIAL CORE                
MITTEN,2008 48 ST SE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, WHOLESALER",FOREST LAWN INDUSTRIAL                  
MIYAKO SUSHI EXPRESS,#250W 150 6 AV SW CALGARY,Pending Renewal,FOOD SERVICE - PREMISES (NO SEATING),DOWNTOWN COMMERCIAL CORE                
MIZERA MACHINING INNOVATIONS,#7 4115 61 AV SE CALGARY,Renewal Licensed,MANUFACTURER,FOOTHILLS                               
ML SNACK HOUSE,11014 BEARSPAW DAM RD NW CALGARY,Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",RESIDUAL WARD 1 - (SUB AREA 1B)         
MMD SALES ,11184 42 ST SE CALGARY,Renewal Invoiced,WHOLESALER,EAST SHEPARD INDUSTRIAL                 
MMR CANADA,11083 48 ST SE CALGARY,Renewal Licensed,CONTRACTOR,EAST SHEPARD INDUSTRIAL                 
MO FAN TAICHI & WUSHU ACADEMY ,#108 5621 11 ST NE CALGARY,Renewal Licensed,SCHOOL (PROV. NOT REQUIRED),SKYLINE EAST                            
MOBB WORKWEAR,#11 2135 32 AV NE CALGARY,Pending Renewal,RETAIL DEALER - PREMISES,SOUTH AIRWAYS                           
MOBIA TECHNOLOGY INNOVATIONS ,#12 6125 12 ST SE CALGARY,Licensed,CONTRACTOR,BURNS INDUSTRIAL                        
MOBIL 1 LUBE EXPRESS,397 MIDRIDGE DR SE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, FUEL SALES/STORAGE, MOTOR VEHICLE REPAIR AND SERVICE (1)",MIDNAPORE                               
MOBILE AIR*CLIMATE CONTROL SERVICES,4017 4 ST SE CALGARY,Renewal Licensed,CONTRACTOR,MANCHESTER INDUSTRIAL                   
MOBILE DEPOT,#103 7004 MACLEOD TR SE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,FAIRVIEW INDUSTRIAL                     
MOBILE DEPOT,#319 2555 32 ST NE CALGARY,Licensed,RETAIL DEALER - PREMISES,SUNRIDGE                                
MOBILE DEPOT,#206 5222 130 AV SE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, SECONDHAND DEALER",EAST SHEPARD INDUSTRIAL                 
MOBILE DOOR & CARPENTRY SERVICES ,#9 7003 30 ST SE CALGARY,Renewal Licensed,"MANUFACTURER, RETAIL DEALER - PREMISES, WHOLESALER, CONTRACTOR",FOOTHILLS                               
MOBILE REFLECTIONS,#80 4797 22 ST SE CALGARY,Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),VALLEYFIELD                             
MOBILE SIGNS,#46 4407 116 AV SE CALGARY,Licensed,"MANUFACTURER, WHOLESALER",EAST SHEPARD INDUSTRIAL                 
MOBILE SNAP,#9K 2525 36 ST NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,SUNRIDGE                                
MOBILE SOLUTIONS OF CALGARY,#136 2331 50 AV SE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),VALLEYFIELD                             
MOBILE SOLUTIONS OF CANADA,#80 4797 22 ST SE CALGARY,Renewal Licensed,WHOLESALER,VALLEYFIELD                             
MOBILE SOUNDS,#4 3850 19 ST NE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),NORTH AIRWAYS                           
MOBILE TECHNICAL SERVICES,#125 10555 48 ST SE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),EAST SHEPARD INDUSTRIAL                 
MOBILICITY,#130 2525 36 ST NE CALGARY,Renewal Invoiced,RETAIL DEALER - PREMISES,SUNRIDGE                                
MOBILICITY,#718K 3800 MEMORIAL DR NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MARLBOROUGH                             
MOBILICITY,#800B 999 36 ST NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,FRANKLIN                                
MOBILICITY,#800B 999 36 ST NE CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,FRANKLIN                                
MOBILICITY,#101 77 CASTLERIDGE BV NE CALGARY,Expired,RETAIL DEALER - PREMISES,WESTWINDS                               
MOBILTEC SATELLITE SERVICES,#2 1313 44 AV NE CALGARY,Renewal Licensed,CONTRACTOR,MCCALL                                  
MOBILTEX DATA,3640 26 ST NE CALGARY,Renewal Licensed,"MANUFACTURER, WHOLESALER",HORIZON                                 
MOCCACHINO CAFE,#10 801 MANNING RD NE CALGARY,Renewal Licensed,"TOBACCO RETAILER, FOOD SERVICE - PREMISES (SEATING)",MAYLAND                                 
MOCHANIC'S AUTO SERVICE,635C 37 AV NE CALGARY,Renewal Licensed,MOTOR VEHICLE REPAIR AND SERVICE (1),GREENVIEW INDUSTRIAL PARK               
MOCOAT FIBREGLASS PRODUCTS ,6224 29 ST SE CALGARY,Renewal Licensed,WHOLESALER,FOOTHILLS                               
MODA CONSIGNMENT,1418 9 AV SE CALGARY,Licensed,"RETAIL DEALER - PREMISES, SECONDHAND DEALER",INGLEWOOD                               
MODEL LAND,#A 3409 26 AV SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,KILLARNEY/GLENGARRY                     
MODEL MILK BISTRO,308 17 AV SW CALGARY,Pending Renewal,"ENTERTAINMENT ESTABLISHMENT, TOBACCO RETAILER, RETAIL DEALER - PREMISES, ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",BELTLINE                                
MODELLA NAILS & SPA,#8A 34 EDGEDALE DR NW CALGARY,Pending Renewal,PERSONAL SERVICE,EDGEMONT                                
MODERN AND ANTIQUES UPHOLSTERY,#6 3803 26 AV SW CALGARY,Renewal Licensed,"FURNITURE REFINISHING, RETAIL DEALER - PREMISES",GLENBROOK                               
MODERN AUTOMOTIVE SERVICES,#15 1420 40 AV NE CALGARY,Renewal Licensed,"RETAIL DEALER - PREMISES, AUTO BODY SHOP, MOTOR VEHICLE REPAIR AND SERVICE (1)",MCCALL                                  
MODERN BARBER SHOP,4214C 17 AV SE CALGARY,Pending Renewal,PERSONAL SERVICE,FOREST LAWN                             
MODERN BEAUTY SUPPLIES,1627 32 AV NE CALGARY,Renewal Invoiced,"RETAIL DEALER - PREMISES, WHOLESALER",SOUTH AIRWAYS                           
MODERN BEAUTY SUPPLIES,415 MANITOU RD SE CALGARY,Renewal Licensed,WHOLESALER,MANCHESTER INDUSTRIAL                   
MODERN DUKE,808 16 AV SW CALGARY,Licensed,RETAIL DEALER - PREMISES,BELTLINE                                
MODERN HOUSEWARE IMPORTS,#31 4000 106 AV SE CALGARY,Renewal Licensed,WHOLESALER,EAST SHEPARD INDUSTRIAL                 
MODERN INDUSTRIAL RENTALS,570 SOUTHLAND DR SW CALGARY,Renewal Licensed,WHOLESALER,HAYSBORO                                
MODERN MENSWEAR,#17 2500 4 ST SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MISSION                                 
MODERN METAL PRODUCTS,3300 114 AV SE CALGARY,Renewal Licensed,MANUFACTURER,SHEPARD INDUSTRIAL                      
MODERN MOTORS,5539 6 ST SE CALGARY,Renewal Licensed,"MOTOR VEHICLE REPAIR AND SERVICE (1), WHOLESALER",MANCHESTER INDUSTRIAL                   
MODERN NAILS II,337 HERITAGE DR SE CALGARY,Licensed,PERSONAL SERVICE,ACADIA                                  
MODERN NATURAL THERAPY,#303 6707 ELBOW DR SW CALGARY,Licensed,"MASSAGE CENTRE (COMMERCIAL), FOOD SERVICE - PREMISES",KELVIN GROVE                            
MODERN NIAGARA ALBERTA,630 37 AV NE CALGARY,Licensed,CONTRACTOR (NO DEPOSITS OR PROGRESS PAYMENTS),GREENVIEW INDUSTRIAL PARK               
MODERN PLASTICS,9330 48 ST SE CALGARY,Renewal Licensed,MANUFACTURER,SOUTH FOOTHILLS                         
MODERN PLATE AND LABEL,4301D 9 ST SE CALGARY,Renewal Licensed,MANUFACTURER,HIGHFIELD                               
MODERN STEAK,107 10A ST NW CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",HILLHURST                               
MODERN STYLE NAILS & SPA,#131 233 16 AV NW CALGARY,Renewal Licensed,PERSONAL SERVICE,CRESCENT HEIGHTS                        
MODERN TOOL,11488 70 ST SE CALGARY,Renewal Licensed,WHOLESALER,EAST SHEPARD INDUSTRIAL                 
MODU-LOC FENCE RENTALS,4334 68 AV SE CALGARY,Renewal Licensed,CONTRACTOR (NO DEPOSITS OR PROGRESS PAYMENTS),FOOTHILLS                               
MOGA DRIVING SCHOOL,#501 4656 WESTWINDS DR NE CALGARY,Renewal Licensed,SCHOOL (DRIVER EDUCATION),WESTWINDS                               
MOGA MEAT SHOP,#101 4851 WESTWINDS DR NE CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES,WESTWINDS                               
MOHINI'S DESIGNER CONSULTATION,#132 4850 WESTWINDS DR NE CALGARY,Licensed,"RETAIL DEALER - PREMISES, WHOLESALER",WESTWINDS                               
MOJO FITNESS,#220 1919 SIROCCO DR SW CALGARY,Renewal Invoiced,PERSONAL SERVICE,SIGNAL HILL                             
MOJO'S LICENSE AND REGISTRY SERVICES,#3 6020 1A ST SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,MANCHESTER INDUSTRIAL                   
MOJO'S PIZZERIA AND DONAIR,3011 26 AV SW CALGARY,Renewal Licensed,FOOD SERVICE - PREMISES (NO SEATING),KILLARNEY/GLENGARRY                     
MOKSHA YOGA CALGARY,9152 MACLEOD TR SE CALGARY,Pending Renewal,PERSONAL SERVICE,ACADIA                                  
MOKSHA YOGA CALGARY NORTH,#412 500 COUNTRY HILLS BV NE CALGARY,Renewal Licensed,"PERSONAL SERVICE, RETAIL DEALER - PREMISES",COUNTRY HILLS VILLAGE                   
MOLI INDUSTRIES,1880 CENTRE AV NE CALGARY,Renewal Licensed,MANUFACTURER,MAYLAND                                 
MOLLY MAID,#104 4711 13 ST NE CALGARY,Pending Renewal,CLEANING SERVICE (COMMERCIAL & RESIDENTIAL),MCCALL                                  
MOLLY MALONES,1153 KENSINGTON CR NW CALGARY,Licensed,"ENTERTAINMENT ESTABLISHMENT, TOBACCO RETAILER, RETAIL DEALER - PREMISES, ALCOHOL BEVERAGE SALES (DRINKING EST/RESTAURANT), FOOD SERVICE - PREMISES (SEATING), OUTDOOR PATIO",HILLHURST                               
MOLSON BREWHOUSE,2000 AIRPORT RD NE CALGARY,Pending Renewal,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",CALGARY INTERNATIONAL AIRPORT           
MOLSON KIOSK/CHICK-FIL-A,2000 AIRPORT RD NE CALGARY,Pending Renewal,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (NO SEATING)",CALGARY INTERNATIONAL AIRPORT           
MOMENTUM AUTO,#1001 4515 MACLEOD TR SW CALGARY,Licensed,MOTOR VEHICLE DEALER - NO PREMISES,PARKHILL                                
MOMENTUM HEALTH OGDEN,#1C 7005 18 ST SE CALGARY,Renewal Licensed,"MASSAGE CENTRE (COMMERCIAL), RETAIL DEALER - PREMISES",OGDEN                                   
MOMENTUM HEALTH WEST SPRINGS ,#2200 8561 8A AV SW CALGARY,Renewal Licensed,"MASSAGE CENTRE (COMMERCIAL), RETAIL DEALER - PREMISES",WEST SPRINGS
MOMENTUM HEALTH WESTBROOK,#312 3320 17 AV SW CALGARY,Renewal Invoiced,"MASSAGE CENTRE (COMMERCIAL), RETAIL DEALER - PREMISES, FOOD SERVICE - PREMISES",SHAGANAPPI                              
MOMMA JEAN'S RESTAURANT,#7 3012 17 AV SE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",ALBERT PARK/RADISSON HEIGHTS            
MOMO-YAMA SUSHI,#6 3919 RICHMOND RD SW CALGARY,Pending Renewal,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",GLAMORGAN                               
MOMS PLACE,5016 17 AV SE CALGARY,Renewal Licensed,"ALCOHOL BEVERAGE SALES (RESTAURANT), FOOD SERVICE - PREMISES (SEATING)",FOREST LAWN                             
MONA LISA ARTISTS' MATERIALS,1518 7 ST SW CALGARY,Renewal Licensed,RETAIL DEALER - PREMISES,BELTLINE                                
